Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
14092, 23634, 35474, 42418, 44316, 36577, 29142, 33150, 34610
14691, 25770, 36127, 44116, 44276, 37085, 28395, 33154, 33874
14894, 24243, 43200, 40954, 44701, 39287, 28202, 32411, 35123
13925, 23664, 38151, 41983, 43686, 39822, 31523, 33608, 36107
15710, 24954, 38450, 47079, 47264, 36953, 29739, 35676, 36598
15788, 23879, 37499, 41416, 45202, 35838, 28193, 31395, 32922
14312, 45096, 43967, 47518, 50052, 38449, 30377, 36419, 37407
14622, 28626, 41252, 43464, 45522, 37990, 28712, 33537, 35751
16127, 25098, 39507, 43652, 47432, 37514, 36133, 31578, 34397
16931, 23928, 39436, 42918, 45125, 37072, 28317, 34974, 35973
14984, 24657, 36911, 41857, 44495, 37115, 27591, 36260, 35079
14624, 22484, 37205, 42238, 43277, 35657, 25968, 31408, 35367
13734, 24425, 35985, 42000, 45751, 35007, 28214, 31654, 33826
13892, 24040, 37394, 42729, 44973, 36571, 37077, 36110, 36187
14213, 26951, 37658, 41747, 46044, 36790, 28643, 31049, 35093
14589, 22246, 39457, 41289, 45026, 34838, 28543, 34579, 37583
14448, 23751, 40336, 41846, 44938, 35680, 27729, 30362, 34519
14574, 22305, 37698, 39887, 44549, 35631, 27859, 31603, 36102
16575, 23349, 37767, 42081, 43486, 35740, 28602, 31799, 36154
15793, 24677, 39355, 43104, 44451, 35705, 28450, 32917, 35924
13906, 24242, 38260, 41645, 43427, 36559, 27843, 31548, 33750
15439, 24398, 36600, 41694, 43743, 36318, 27040, 33828, 33575
14925, 22781, 36919, 41877, 43199, 35013, 27373, 31849, 35938
14642, 23349, 40756, 41204, 45689, 35624, 27309, 33829, 35736
13959, 25889, 40700, 43450, 45150, 37206, 28090, 36154, 36202
14240, 23799, 38265, 42580, 44942, 36242, 36664, 36253, 34778
14359, 23929, 38793, 43986, 44760, 37630, 28351, 31924, 36469
14456, 23651, 38310, 40269, 45376, 36077, 27062, 31828, 35622
14080, 24307, 36003, 42554, 42936, 34581, 27644, 31790, 35747
14297, 24860, 39774, 41889, 45160, 37173, 27850, 31263, 34436
14450, 24991, 42114, 41751, 44826, 37468, 35724, 31656, 33964
14057, 23911, 45731, 48299, 48912, 39609, 30267, 34444, 36248
17828, 26724, 39824, 45092, 47159, 38376, 37421, 33004, 37043
16171, 23484, 40882, 44274, 45162, 39515, 29792, 32863, 36191
14833, 24995, 39464, 44451, 46373, 37170, 28176, 39320, 35046
15147, 23090, 38176, 43159, 43560, 37512, 27062, 31601, 36014
15063, 24170, 39989, 44028, 45690, 37138, 36433, 34641, 36253
14397, 22760, 35656, 42173, 43094, 34673, 26755, 30195, 34703
13383, 23677, 36272, 49552, 45073, 36877, 30448, 32834, 61132
23766, 27033, 43541, 46973, 49697, 38367, 31465, 33757, 36571
15190, 25665, 39208, 44343, 46741, 37388, 28243, 34343, 34948
15022, 24591, 37753, 42787, 45637, 37940, 28038, 32681, 36910
33422, 25585, 42680, 48330, 50842, 39987, 40999, 40461, 44194
18299, 28888, 47957, 55766, 50861, 41691, 32137, 39584, 39329
16642, 26359, 41991, 50471, 45998, 39501, 30253, 37507, 35085
14951, 25892, 38879, 44251, 47269, 36659, 29159, 33770, 34621
15410, 23652, 37056, 43317, 44210, 36291, 28193, 35285, 35091
14648, 23554, 37157, 42078, 44644, 34888, 26942, 30500, 33888
13942, 24245, 40297, 40358, 43885, 35165, 27597, 30859, 34509
13540, 23267, 38050, 42034, 44402, 34649, 27875, 34910, 34454
14941, 24172, 38850, 42594, 42920, 36362, 27520, 31207, 33863
14011, 24076, 37196, 42328, 43935, 35698, 28306, 31492, 33876
14295, 24713, 41028, 39691, 46530, 37756, 28615, 31247, 34989
14327, 22756, 37637, 40903, 43611, 35230, 28516, 31226, 34568
14723, 24307, 36313, 41017, 44537, 36564, 35634, 31868, 34101
14440, 24570, 36549, 45068, 45187, 34945, 27729, 47075, 39931
14914, 23855, 37075, 43831, 44888, 37936, 27852, 33146, 35188
